name,surname,email,case_number,case_file
Tlhologelo,Zwane,onasihle123@gmail.com,0008,Murder
Priska,Zwanw,priskalesego@gmail.com,0009,Murder
Danny,Devito,dannydev@gmail.com,328392,Fraud
helen,Devito,dannydev@gmail.com,328392,Fraud
helen,Armour,dannydev@gmail.com,328392,Fraud
donald,dunn,donnydunn@gmail.com,76544,Murder
Ginny,George,ginnyg@gmail.com,142423,Fraud
lesego ,zwane,priskalesego@gmail.com,34,civil 
Onalerona,Zwane,onasihle123@gmail.com,76543,Theft
Chai,cat,chaicat@gmail.com,3457,theft
Gerald,Zwane,ZwaneGerald@saps.gov.za,Pta Central: 22/09/2024,Fraud
Freddy,Mercury,fredmerc@gmail.com,32872,Arson
Walter,White,waltwhit344@gmail.com,13717,Drugs
Alex,G,alexg@gmail.com,23428,Murder
Constance,Wu,constantwu@gmail.com,3748,Vandalism
Georgina,George,gg324@gmail.com,4556,Vandalism
Anna ,Mae,annamaeeee@gmail.com,2351,Battery
Lulu,Lemon,luulem@gmail.com,5466,File Manipulation
Humpty ,Dumpty,humdum@gmail.com,6238,Vandalism
Hansel,Hans,hanshans@gmail.com,6738,Breaking and entering
Billie,Eilish,biilieye@gmail.com,4998,Battery and Assault
Donald ,Duck,ddduck@gmail.com,1927,Impersonation
Onalerona,Zwane,onasihle123@gmail.com,676899,Arson
